x_bin,y_bin,t_bin,particle_count
-61,-25,5,1
-59,20,3,2
-58,-19,10,1
-58,50,53,1
-56,-24,10,1
-56,16,34,1
-56,35,5,1
-55,34,5,1
-54,-21,17,1
-53,1,4,1
-53,12,6,1
-53,12,7,1
-51,-24,9,1
-50,-25,6,1
-50,-8,8,1
-49,-38,49,1
-49,13,36,1
-48,-17,19,1
-47,16,2,1
-47,50,12,1
-46,19,10,1
-44,-6,2,1
-44,13,15,1
-42,5,1,1
-41,-12,39,1
-41,5,17,1
-41,9,2,1
-40,-39,47,1
-40,-17,1,1
-39,-55,23,1
-39,-3,3,1
-38,-20,15,1
-37,14,3,1
-36,47,4,1
-35,-41,5,1
-35,-4,3,1
-34,-11,13,1
-33,10,1,1
-32,-29,7,1
-32,-15,5,1
-32,-5,2,1
-32,33,12,1
-32,34,16,1
-32,36,6,1
-31,0,7,1
-31,7,1,1
-31,24,4,1
-30,-21,16,1
-30,5,3,1
-30,23,3,1
-30,37,2,1
-30,38,59,1
-30,55,44,1
-29,-46,29,1
-29,-29,19,1
-29,0,6,1
-29,10,3,1
-29,11,1,1
-29,14,21,1
-29,33,12,1
-28,-6,7,1
-28,0,4,1
-28,17,6,1
-27,-8,1,1
-27,-1,17,1
-27,15,10,1
-27,46,43,1
-27,48,12,1
-26,25,3,1
-25,-46,42,1
-25,7,8,1
-25,40,2,1
-25,42,3,1
-24,-14,2,1
-24,-13,1,1
-24,11,11,1
-24,14,2,1
-24,25,53,1
-24,27,0,2
-23,-40,17,1
-23,-20,7,1
-23,-11,28,1
-22,-22,1,1
-22,5,1,1
-22,42,1,1
-21,-34,2,1
-21,-31,5,1
-21,-14,2,1
-21,3,0,1
-21,10,2,1
-20,-37,6,2
-20,-36,3,1
-20,-26,1,1
-20,-11,4,1
-20,-5,9,1
-20,2,1,1
-20,3,23,1
-20,19,2,1
-20,35,5,1
-19,-35,1,1
-19,-23,1,1
-19,-15,7,1
-19,-1,0,1
-19,2,1,1
-19,11,4,1
-18,-52,2,1
-18,-51,2,1
-18,1,2,1
-18,12,1,1
-18,13,11,1
-18,24,0,1
-18,24,3,1
-18,32,11,1
-18,34,48,1
-17,1,0,1
-17,7,1,1
-17,9,1,1
-17,35,3,1
-17,53,1,1
-16,-31,2,1
-16,-10,4,1
-16,-3,0,1
-16,1,10,1
-16,5,0,1
-16,7,2,1
-15,-5,0,1
-15,-3,2,1
-15,-2,5,1
-15,23,2,1
-15,53,2,1
-14,-12,0,1
-14,2,6,1
-14,4,2,1
-14,14,0,1
-14,22,11,1
-14,52,31,1
-13,-9,0,1
-13,-8,0,1
-13,27,6,1
-13,37,10,1
-12,-26,9,1
-12,-9,10,1
-12,-2,4,1
-12,12,10,1
-12,19,6,1
-12,24,14,2
-12,36,1,1
-11,-13,0,1
-11,-11,4,1
-11,-8,7,2
-11,12,0,1
-11,17,2,1
-11,19,0,1
-11,20,0,1
-11,27,2,1
-10,-42,34,1
-10,-16,8,1
-10,-14,2,1
-10,-11,36,1
-10,-6,36,1
-10,-3,3,1
-10,14,1,1
-10,20,2,1
-10,38,2,1
-10,40,1,1
-9,-54,14,1
-9,-31,2,1
-9,-11,1,1
-9,-5,0,2
-9,-2,0,1
-9,1,1,1
-9,15,1,1
-9,26,0,1
