x_bin,y_bin,t_bin,particle_count
-485,98,512,1
-456,102,692,1
-409,-470,0,1
-380,174,425,2
-368,-205,142,1
-278,104,585,1
-264,-29,354,1
-261,-28,359,1
-254,487,984,1
-235,55,422,1
-219,78,422,1
-218,-257,252,1
-215,95,459,1
-198,44,406,1
-196,146,517,1
-169,-128,315,1
-164,52,444,1
-161,24,404,1
-161,24,405,1
-160,65,465,1
-158,15,395,1
-156,34,408,1
-153,-420,154,1
-152,83,451,1
-151,95,479,1
-150,39,414,1
-148,416,695,1
-147,-34,396,1
-147,42,435,1
-147,79,442,1
-143,69,437,2
-142,42,422,1
-142,91,485,1
-137,-395,168,1
-136,40,442,1
-130,50,469,1
-129,-1,414,1
-126,-395,175,1
-122,-101,375,1
-116,75,469,1
-116,125,515,1
-114,99,497,1
-108,114,524,1
-105,-237,310,1
-104,-76,657,1
-101,-247,320,1
-100,-57,442,1
-99,-102,563,1
-98,-248,326,1
-93,-121,410,1
-92,-79,421,1
-91,-120,406,1
-90,-266,267,1
-90,-81,421,1
-89,-203,415,1
-83,-188,328,1
-82,165,571,1
-78,-188,330,1
-58,31,484,1
-57,-20,447,1
-55,330,734,1
-53,-15,450,1
-52,-253,311,1
-52,20,502,1
-50,-169,363,1
-46,-83,468,1
-45,-51,446,1
-39,-295,313,1
-39,-83,525,1
-31,5,480,1
-30,95,538,1
-28,23,485,1
-25,-185,376,1
-24,13,490,1
-22,202,631,1
-17,26,492,1
-16,-29,524,1
-15,-2,473,1
-12,-122,414,1
-11,47,505,1
-8,46,505,1
-5,6,492,1
-4,7,489,1
-4,52,558,1
-2,-28,498,1
-1,-7,480,1
0,-33,469,1
4,-128,423,1
4,0,485,1
5,20,506,1
9,46,527,1
9,50,521,1
10,-39,490,1
10,20,499,1
10,39,529,1
12,-126,415,1
12,-14,560,1
13,25,516,1
13,70,539,1
14,126,571,1
15,-55,498,1
16,-130,413,2
16,102,558,1
18,41,529,1
19,-175,415,1
21,-137,421,1
22,29,515,1
22,38,517,2
22,39,526,1
22,147,590,2
23,-174,391,1
23,-128,424,1
23,97,560,1
24,49,527,1
24,105,566,1
25,9,644,1
25,53,528,1
25,70,540,1
25,397,813,1
26,-114,429,1
26,49,589,1
27,23,514,1
28,30,523,1
28,57,535,1
28,110,572,1
28,399,819,1
30,28,515,1
30,70,543,1
31,-126,430,1
31,26,518,1
32,-16,495,1
32,2,505,1
32,16,512,1
32,31,521,1
33,-16,496,1
33,51,532,1
33,55,543,1
34,44,528,1
35,44,530,1
36,29,543,1
36,76,557,1
36,80,554,1
37,34,524,1
37,40,527,1
38,-144,432,1
38,46,533,1
38,73,549,1
38,74,551,1
38,90,564,1
39,7,516,1
39,33,525,1
39,38,529,1
39,38,532,1
40,-87,462,1
40,75,560,1
40,85,576,1
41,36,527,1
41,41,530,1
42,34,526,1
42,44,535,1
42,74,560,1
43,30,529,1
43,90,563,1
44,-118,459,1
44,117,606,1
46,-5,518,1
46,26,526,1
48,40,535,1
49,0,517,1
50,-72,468,1
50,26,531,1
50,29,529,1
50,43,538,1
51,40,536,1
51,41,543,1
51,41,544,1
51,126,673,1
52,-82,467,1
52,45,542,1
52,48,543,1
52,69,569,1
53,-167,435,1
53,13,526,1
54,72,559,1
55,-150,437,1
55,56,549,1
57,-6,512,1
59,-21,513,1
59,6,525,1
61,-133,439,1
62,-126,493,1
63,63,562,1
65,62,574,1
65,71,571,1
65,72,567,1
66,41,553,1
69,44,551,1
70,65,565,1
70,76,574,1
71,161,631,1
74,48,556,1
74,155,630,1
75,48,556,1
75,127,733,1
76,-136,447,1
77,49,559,1
78,-86,529,1
79,133,629,1
80,44,559,1
83,73,607,1
85,94,601,1
88,-134,472,1
95,58,579,1
98,74,614,1
101,43,584,1
106,72,616,1
116,16,594,1
119,32,609,1
123,-100,513,1
123,33,611,1
127,-123,527,1
134,84,628,1
143,32,601,1
144,73,654,1
173,161,697,1
174,161,696,1
185,160,746,1
192,-269,510,1
194,161,756,1
196,13,636,1
303,133,756,1
